1,1
2,1
3,1
4,1
5,1
6,2
7,2
8,2
9,2
10,2
11,3
12,3
13,3
14,3
15,3
16,4
17,4
18,4
19,4
20,4
21,22
22,22
23,22
24,22
25,22
26,5
27,5
28,5
29,5
30,5
31,6
32,6
33,6
34,6
35,6
36,7
37,7
38,7
39,7
40,7
41,23
42,23
43,23
44,23
45,23
46,8
47,8
48,8
49,8
50,8
51,9
52,9
53,9
54,9
55,9
56,10
57,10
58,10
59,10
60,10
61,24
62,24
63,24
64,24
65,24
66,11
67,11
68,11
69,11
70,11
71,12
72,12
73,12
74,12
75,12
76,13
77,13
78,13
79,13
80,13
81,14
82,14
83,14
84,14
85,14
86,15
87,15
88,15
89,15
90,15
91,16
92,16
93,16
94,16
95,16
96,21
97,21
98,21
99,21
100,21
101,17
102,17
103,17
104,17
105,17
106,18
107,18
108,18
109,18
110,18
111,19
112,19
113,19
114,19
115,19
116,24
117,24
118,24
119,24
120,24
121,20
122,20
123,20
124,20
125,20
