1,2
2,3
3,1
4,2
5,12
6,6
7,7
8,9
9,5
10,2
11,12
12,5
13,4
14,11
15,2
16,3
17,10
18,4
19,3
20,3
21,7
22,2
23,8
24,7
25,8
26,7
27,8
28,6
29,10
30,3
31,1
32,7
33,7
34,10
35,4
36,12
37,5
38,1
39,8
40,11
41,4
42,11
43,9
44,4
45,5
46,7
47,7
48,6
49,12
50,3
51,12
52,7
53,1
54,9
55,10
56,1
57,6
58,7
59,2
60,7
61,9
62,10
63,10
64,12
65,9
66,4
67,11
68,3
69,1
70,1
71,2
72,4
73,1
74,7
75,9
76,9
77,8
78,12
79,9
80,10
81,12
82,11
83,9
84,2
85,5
86,2
87,8
88,4
89,12
90,3
91,9
92,11
93,4
94,3
95,5
96,12
97,10
98,4
99,5
100,7
101,1
102,6
103,3
104,7
105,7
106,6
107,12
108,5
109,2
110,12
111,6
112,6
113,7
114,10
115,9
